CNTRYID,CNT,CNTSCHID,CNTSTUID,CYC,NatCen,STRATUM,SUBNATIO,OECD,ST013Q01TA,MISCED,FISCED,HISCED,PARED,MISCED_D,FISCED_D,HISCED_D,PAREDINT,HISEI,MMINS,LMINS,SMINS,TMINS,STUBMI,ESCS,ICTHOME,ICTSCH,HEDRES,WEALTH,ICTRES,EMOSUPS,STIMREAD,ADAPTIVITY,BODYIMA,SOCONPA,PVMATH,PVREAD,PVSCIE
484,MEX,48400001,48400094,07MS,048400,MEX0007,4840000,1,1,1,4,4,12.00,1,4,4,12.00,57.64,300,240,240,1740,22.49,-0.9758,7,6,-0.6853,-1.9004,-0.8794,-0.6576,-0.0999,1.1853,,0.1965,554.09,539.60,521.66
484,MEX,48400001,48401003,07MS,048400,MEX0007,4840000,1,1,3,1,3,12.00,3,1,3,12.00,17.00,250,200,250,1400,22.66,-1.1284,9,9,-0.6853,0.0201,-0.2300,1.0346,0.5102,0.4572,0.1306,-0.1240,474.05,521.99,508.13
484,MEX,48400001,48401122,07MS,048400,MEX0007,4840000,1,1,4,4,4,12.00,4,4,4,12.00,26.62,325,260,260,2665,24.65,-1.2288,7,5,0.0477,-0.9893,-0.2532,1.0346,-0.6200,0.1915,-1.8465,0.0157,401.68,460.34,448.43
484,MEX,48400001,48401527,07MS,048400,MEX0007,4840000,1,1,6,6,6,16.00,6,6,6,16.00,,275,275,275,,16.53,-0.0321,3,0,-1.0527,-1.0852,-1.7779,1.0346,0.0205,-0.1716,-0.8400,-2.4266,383.71,375.05,389.05
484,MEX,48400001,48401706,07MS,048400,MEX0007,4840000,1,2,2,2,2,9.00,2,2,2,9.00,27.91,250,200,150,1750,22.86,-1.7190,6,6,1.1793,-1.5465,-0.9400,1.0346,0.5102,0.4572,-0.6487,0.9078,421.55,497.39,484.69
484,MEX,48400001,48401761,07MS,048400,MEX0007,4840000,1,1,1,1,1,6.00,1,1,1,6.00,17.00,,,,,19.78,-3.2407,3,1,-1.9560,-3.3760,-2.9116,,-0.0073,0.1941,0.0422,-1.6926,407.75,442.53,460.12
484,MEX,48400001,48402096,07MS,048400,MEX0007,4840000,1,1,2,2,2,9.00,2,2,2,9.00,17.55,275,220,275,1540,20.96,-2.1649,5,6,-1.0118,-1.5371,-1.4787,1.0346,-0.6200,-0.5786,-0.2393,0.1541,325.29,346.59,338.91
484,MEX,48400001,48402359,07MS,048400,MEX0007,4840000,1,1,2,2,2,9.00,2,2,2,9.00,39.04,400,400,400,2640,,-2.3626,2,3,-2.4403,-3.4736,-3.7680,1.0346,0.5102,0.4572,0.1306,0.3334,320.70,331.84,349.74
484,MEX,48400001,48402389,07MS,048400,MEX0007,4840000,1,3,2,4,4,12.00,2,4,4,12.00,30.34,275,220,220,,,-1.1201,6,5,0.0477,-0.9975,-0.7849,0.2127,-0.9263,-1.0504,1.0151,-0.4368,395.08,448.00,448.96
484,MEX,48400001,48402994,07MS,048400,MEX0007,4840000,1,2,4,4,4,12.00,4,4,4,12.00,44.14,,,,,26.83,-0.9833,7,7,0.0477,-1.2405,-0.6231,,-0.9600,-0.4740,-0.9055,0.9078,480.17,423.40,453.41
484,MEX,48400001,48403006,07MS,048400,MEX0007,4840000,1,1,0,4,4,12.00,0,4,4,12.00,24.53,225,180,225,1260,21.95,-2.2838,2,6,-1.9350,-4.2769,-3.7680,-2.0819,-1.7115,-1.4494,0.0458,-2.0063,538.90,512.65,530.56
484,MEX,48400001,48403231,07MS,048400,MEX0007,4840000,1,3,5,,5,14.00,5,,5,14.50,54.55,275,165,165,2860,,-0.6033,8,5,-0.6947,-2.1485,-1.7005,1.0346,0.5102,0.4572,-0.6487,-0.0974,366.41,396.46,347.11
484,MEX,48400001,48404448,07MS,048400,MEX0007,4840000,1,3,1,5,5,14.00,1,5,5,14.50,54.62,,,,,22.22,0.0182,9,9,-0.6853,-0.6973,-0.3490,1.0346,-0.0716,0.4572,0.1306,0.9078,474.69,513.08,510.35
484,MEX,48400001,48405138,07MS,048400,MEX0007,4840000,1,3,6,6,6,16.00,6,6,6,16.00,76.65,275,330,275,1650,20.44,-0.2133,3,3,-2.3391,-2.3388,-1.7779,-1.0657,-0.0999,-0.5786,0.1306,-0.3986,458.90,454.24,385.88
484,MEX,48400001,48405441,07MS,048400,MEX0007,4840000,1,2,2,2,2,9.00,2,2,2,9.00,25.95,300,240,300,,29.73,-2.1607,6,4,-1.3835,-2.3287,-1.7779,0.2127,0.5135,0.4572,-0.5845,-0.0118,351.86,395.11,396.47
484,MEX,48400001,48405522,07MS,048400,MEX0007,4840000,1,1,5,2,5,14.00,5,2,5,14.50,25.95,275,220,275,1760,24.34,-1.8307,2,4,-2.3391,-3.5070,-2.3112,1.0346,2.0871,2.0073,0.8473,0.9078,395.08,402.66,421.39
484,MEX,48400001,48405675,07MS,048400,MEX0007,4840000,1,2,2,2,2,9.00,2,2,2,9.00,30.99,250,200,200,1400,23.53,-1.5156,5,5,1.1793,-0.9552,-1.0359,1.0346,1.1847,-0.5754,,0.9078,482.15,467.05,499.05
484,MEX,48400001,48405686,07MS,048400,MEX0007,4840000,1,2,6,5,6,16.00,6,5,6,16.00,54.62,315,225,270,2205,,0.6947,10,5,1.1793,0.5647,-0.0440,1.0346,0.7904,0.1067,0.9114,0.9078,430.16,450.32,441.27
484,MEX,48400001,48405884,07MS,048400,MEX0007,4840000,1,5,6,,6,16.00,6,,6,16.00,21.24,240,180,180,2160,,-0.5607,7,6,-0.5012,-1.1203,-0.6231,-1.2947,-1.0370,-0.5786,-0.2941,-1.0299,407.52,358.21,410.01
484,MEX,48400001,48405891,07MS,048400,MEX0007,4840000,1,1,2,2,2,9.00,2,2,2,9.00,46.76,250,200,250,1400,14.52,-1.4777,5,6,-1.0527,-1.0183,-1.5044,1.0346,0.5102,0.4572,-0.4899,0.9078,476.89,526.22,483.48
