"","CNTRYID","CNT","CNTSCHID","CNTSTUID","CYC","NatCen","STRATUM","SUBNATIO","OECD","BOOKID","ST001D01T","ST003D02T","ST003D03T","ST004D01T","ST005Q01TA","ST007Q01TA","ST011Q04TA","ST154Q01HA","IC001Q01TA","IC001Q02TA","IC001Q03TA","IC001Q04TA","IC001Q05TA","IC001Q07TA","IC009Q01TA","IC009Q02TA","IC009Q03TA","IC009Q05NA","IC009Q06NA","IC002Q01HA","IC004Q01HA","ST013Q01TA","MISCED","FISCED","HISCED","PARED","MISCED_D","FISCED_D","HISCED_D","PAREDINT","HISEI","MMINS","LMINS","SMINS","TMINS","STUBMI","ESCS","ICTHOME","ICTSCH","HEDRES","WEALTH","ICTRES","EMOSUPS","STIMREAD","ADAPTIVITY","BODYIMA","SOCONPA","PVMATH","PVREAD","PVSCIE","W_FSTUWT"
"1",484,"MEX",48400001,48400094,"07MS","048400","MEX0007","4840000",1,13,10,3,2002,2,4,1,1,2,3,1,2,1,3,1,1,3,3,1,1,5,5,1,1,4,4,12,1,4,4,12,57.64,300,240,240,1740,22.49,-0.9758,7,6,-0.6853,-1.9004,-0.8794,-0.6576,-0.0999,1.1853,NA,0.1965,554.0913,539.6011,521.6621,162.88524
"2",484,"MEX",48400001,48401003,"07MS","048400","MEX0007","4840000",1,1,10,1,2002,2,2,4,1,2,3,1,1,1,1,1,1,1,1,1,1,3,4,1,3,1,3,12,3,1,3,12,17,250,200,250,1400,22.66,-1.1284,9,9,-0.6853,0.0201,-0.23,1.0346,0.5102,0.4572,0.1306,-0.124,474.0478,521.9858,508.1276,162.88524
"3",484,"MEX",48400001,48401122,"07MS","048400","MEX0007","4840000",1,15,10,12,2002,1,1,1,1,3,3,1,1,1,3,1,3,1,1,1,1,4,5,1,4,4,4,12,4,4,4,12,26.62,325,260,260,2665,24.65,-1.2288,7,5,0.0477,-0.9893,-0.2532,1.0346,-0.62,0.1915,-1.8465,0.0157,401.6842,460.3367,448.4329,152.04115
"4",484,"MEX",48400001,48401527,"07MS","048400","MEX0007","4840000",1,7,10,8,2002,1,1,1,2,3,3,3,3,1,3,1,3,3,3,3,3,2,2,1,6,6,6,16,6,6,6,16,NA,275,275,275,NA,16.53,-0.0321,3,0,-1.0527,-1.0852,-1.7779,1.0346,0.0205,-0.1716,-0.84,-2.4266,383.7064,375.0472,389.0537,152.04115
"5",484,"MEX",48400001,48401706,"07MS","048400","MEX0007","4840000",1,25,10,5,2002,1,3,3,1,2,1,3,3,1,3,1,2,3,3,2,1,2,2,2,2,2,2,9,2,2,2,9,27.91,250,200,150,1750,22.86,-1.719,6,6,1.1793,-1.5465,-0.94,1.0346,0.5102,0.4572,-0.6487,0.9078,421.5491,497.3923,484.6877,152.04115
"6",484,"MEX",48400001,48401761,"07MS","048400","MEX0007","4840000",1,6,10,8,2002,1,4,4,2,2,3,3,3,3,3,1,3,3,3,3,3,3,4,1,1,1,1,6,1,1,1,6,17,NA,NA,NA,NA,19.78,-3.2407,3,1,-1.956,-3.376,-2.9116,NA,-0.0073,0.1941,0.0422,-1.6926,407.7472,442.5272,460.1182,152.04115
"7",484,"MEX",48400001,48402096,"07MS","048400","MEX0007","4840000",1,3,10,5,2002,1,3,3,1,2,3,1,3,1,3,1,1,3,3,1,1,3,4,1,2,2,2,9,2,2,2,9,17.55,275,220,275,1540,20.96,-2.1649,5,6,-1.0118,-1.5371,-1.4787,1.0346,-0.62,-0.5786,-0.2393,0.1541,325.2923,346.5888,338.9109,152.04115
"8",484,"MEX",48400001,48402359,"07MS","048400","MEX0007","4840000",1,8,10,7,2002,1,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,5,5,1,2,2,2,9,2,2,2,9,39.04,400,400,400,2640,NA,-2.3626,2,3,-2.4403,-3.4736,-3.768,1.0346,0.5102,0.4572,0.1306,0.3334,320.6975,331.8363,349.7362,152.04115
"9",484,"MEX",48400001,48402389,"07MS","048400","MEX0007","4840000",1,24,10,3,2002,1,3,1,1,2,1,1,3,1,3,1,2,3,3,2,2,4,4,3,2,4,4,12,2,4,4,12,30.34,275,220,220,NA,NA,-1.1201,6,5,0.0477,-0.9975,-0.7849,0.2127,-0.9263,-1.0504,1.0151,-0.4368,395.0843,447.9994,448.9641,152.04115
"10",484,"MEX",48400001,48402994,"07MS","048400","MEX0007","4840000",1,10,10,8,2002,2,1,1,1,4,3,1,1,1,1,1,1,1,3,1,1,4,4,2,4,4,4,12,4,4,4,12,44.14,NA,NA,NA,NA,26.83,-0.9833,7,7,0.0477,-1.2405,-0.6231,NA,-0.96,-0.474,-0.9055,0.9078,480.1737,423.4008,453.4107,162.88524
"11",484,"MEX",48400001,48403006,"07MS","048400","MEX0007","4840000",1,11,10,8,2002,2,5,1,2,3,3,3,3,3,3,3,2,2,3,1,2,4,4,1,0,4,4,12,0,4,4,12,24.53,225,180,225,1260,21.95,-2.2838,2,6,-1.935,-4.2769,-3.768,-2.0819,-1.7115,-1.4494,0.0458,-2.0063,538.8972,512.6496,530.5573,162.88524
"12",484,"MEX",48400001,48403231,"07MS","048400","MEX0007","4840000",1,14,10,9,2002,1,2,NA,1,2,1,1,3,1,3,1,1,3,3,1,1,1,3,3,5,NA,5,14,5,NA,5,14.5,54.55,275,165,165,2860,NA,-0.6033,8,5,-0.6947,-2.1485,-1.7005,1.0346,0.5102,0.4572,-0.6487,-0.0974,366.4051,396.4561,347.1072,152.04115
"13",484,"MEX",48400001,48404448,"07MS","048400","MEX0007","4840000",1,2,10,3,2002,1,4,2,1,3,2,1,1,1,3,1,2,2,2,1,1,3,3,3,1,5,5,14,1,5,5,14.5,54.62,NA,NA,NA,NA,22.22,0.0182,9,9,-0.6853,-0.6973,-0.349,1.0346,-0.0716,0.4572,0.1306,0.9078,474.6945,513.0811,510.3472,152.04115
"14",484,"MEX",48400001,48405138,"07MS","048400","MEX0007","4840000",1,16,10,10,2002,1,2,2,2,2,3,3,3,1,3,1,3,3,3,3,1,4,3,3,6,6,6,16,6,6,6,16,76.65,275,330,275,1650,20.44,-0.2133,3,3,-2.3391,-2.3388,-1.7779,-1.0657,-0.0999,-0.5786,0.1306,-0.3986,458.8979,454.244,385.8846,152.04115
"15",484,"MEX",48400001,48405441,"07MS","048400","MEX0007","4840000",1,15,10,10,2002,2,3,3,2,2,1,3,3,1,3,1,3,3,3,3,1,3,3,2,2,2,2,9,2,2,2,9,25.95,300,240,300,NA,29.73,-2.1607,6,4,-1.3835,-2.3287,-1.7779,0.2127,0.5135,0.4572,-0.5845,-0.0118,351.8597,395.1069,396.4738,162.88524
"16",484,"MEX",48400001,48405522,"07MS","048400","MEX0007","4840000",1,20,10,1,2002,1,1,3,2,2,3,3,3,3,3,3,1,3,3,1,1,4,4,1,5,2,5,14,5,2,5,14.5,25.95,275,220,275,1760,24.34,-1.8307,2,4,-2.3391,-3.507,-2.3112,1.0346,2.0871,2.0073,0.8473,0.9078,395.083,402.6613,421.3857,152.04115
"17",484,"MEX",48400001,48405675,"07MS","048400","MEX0007","4840000",1,22,10,7,2002,2,3,3,1,4,3,1,3,1,1,1,3,1,3,1,1,3,4,2,2,2,2,9,2,2,2,9,30.99,250,200,200,1400,23.53,-1.5156,5,5,1.1793,-0.9552,-1.0359,1.0346,1.1847,-0.5754,NA,0.9078,482.1451,467.0479,499.0455,162.88524
"18",484,"MEX",48400001,48405686,"07MS","048400","MEX0007","4840000",1,9,10,11,2002,2,1,2,1,2,2,1,1,1,1,1,1,3,3,1,1,4,4,2,6,5,6,16,6,5,6,16,54.62,315,225,270,2205,NA,0.6947,10,5,1.1793,0.5647,-0.044,1.0346,0.7904,0.1067,0.9114,0.9078,430.1595,450.3234,441.2725,162.88524
"19",484,"MEX",48400001,48405884,"07MS","048400","MEX0007","4840000",1,19,10,9,2002,1,2,NA,1,3,3,1,1,1,2,1,2,3,3,1,3,2,4,5,6,NA,6,16,6,NA,6,16,21.24,240,180,180,2160,NA,-0.5607,7,6,-0.5012,-1.1203,-0.6231,-1.2947,-1.037,-0.5786,-0.2941,-1.0299,407.523,358.2066,410.0124,152.04115
"20",484,"MEX",48400001,48405891,"07MS","048400","MEX0007","4840000",1,26,10,11,2002,2,3,3,2,2,3,3,2,1,1,1,1,3,3,1,1,2,3,1,2,2,2,9,2,2,2,9,46.76,250,200,250,1400,14.52,-1.4777,5,6,-1.0527,-1.0183,-1.5044,1.0346,0.5102,0.4572,-0.4899,0.9078,476.8924,526.2217,483.4821,162.88524
"21",484,"MEX",48400001,48406307,"07MS","048400","MEX0007","4840000",1,2,10,12,2002,2,4,2,1,5,1,2,2,2,2,2,1,1,1,1,1,2,2,3,1,6,6,16,1,6,6,16,81.05,300,300,300,1200,24.69,1.1055,11,10,1.1793,0.5477,0.0595,1.0346,-0.62,0.4572,0.9114,0.9078,449.837,367.8174,356.8166,162.88524
"22",484,"MEX",48400001,48406585,"07MS","048400","MEX0007","4840000",1,33,10,7,2002,2,1,3,2,3,3,3,NA,1,3,1,2,2,3,2,2,4,3,1,4,2,4,12,4,2,4,12,52.7,250,200,200,1500,22.95,-1.4069,2,9,-2.2242,-2.5216,-1.7703,1.0346,-0.62,0.7368,1.5661,0.3691,455.6326,397.9911,435.7332,162.88524
"23",484,"MEX",48400001,48406651,"07MS","048400","MEX0007","4840000",1,21,10,11,2002,2,1,1,1,2,1,1,1,1,1,1,2,2,3,1,2,2,3,4,5,6,6,16,5,6,6,16,62.13,250,200,250,1400,19.26,0.6029,10,8,-1.0118,0.527,0.3875,1.0346,0.0205,0.4572,0.9248,-1.0299,429.912,386.1371,387.2253,162.88524
"24",484,"MEX",48400001,48406860,"07MS","048400","MEX0007","4840000",1,14,10,6,2002,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,6,6,16,4,6,6,16,85.41,250,200,250,NA,22.86,0.8761,9,7,1.1793,-0.9679,-0.6231,-0.6576,-0.62,-0.1716,0.1306,0.3691,387.669,355.7993,364.9135,162.88524
"25",484,"MEX",48400001,48407332,"07MS","048400","MEX0007","4840000",1,4,10,12,2002,1,1,4,1,4,1,3,3,1,1,1,1,3,3,1,2,2,4,3,5,1,5,14,5,1,5,14.5,48.66,NA,NA,NA,NA,20.93,-0.5381,6,5,-0.4903,-1.3555,-0.94,NA,-0.0999,-0.0791,0.9248,0.9078,517.5585,504.448,478.5801,152.04115
